PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20000315,MSFT,MICROSOFT CORP,95.375,2
10107,20000316,MSFT,MICROSOFT CORP,95.375,2
10107,20000317,MSFT,MICROSOFT CORP,99.375,2
10107,20000320,MSFT,MICROSOFT CORP,97.375,2
10107,20000321,MSFT,MICROSOFT CORP,102.75,2
10107,20000322,MSFT,MICROSOFT CORP,103.25,2
10107,20000323,MSFT,MICROSOFT CORP,111.875,2
10107,20000324,MSFT,MICROSOFT CORP,111.6875,2
10107,20000327,MSFT,MICROSOFT CORP,104.0625,2
10107,20000328,MSFT,MICROSOFT CORP,104.3125,2
10107,20000329,MSFT,MICROSOFT CORP,107.1875,2
10107,20000330,MSFT,MICROSOFT CORP,103.375,2
10107,20000331,MSFT,MICROSOFT CORP,106.25,2
10107,20000403,MSFT,MICROSOFT CORP,90.875,2
10107,20000404,MSFT,MICROSOFT CORP,88.5625,2
10107,20000405,MSFT,MICROSOFT CORP,86.375,2
10107,20000406,MSFT,MICROSOFT CORP,86,2
10107,20000407,MSFT,MICROSOFT CORP,89.0625,2
10107,20000410,MSFT,MICROSOFT CORP,86.0625,2
10107,20000411,MSFT,MICROSOFT CORP,83.875,2
10107,20000412,MSFT,MICROSOFT CORP,79.375,2
10107,20000413,MSFT,MICROSOFT CORP,79.25,2
10107,20000414,MSFT,MICROSOFT CORP,74.125,2
10107,20000417,MSFT,MICROSOFT CORP,75.875,2
10107,20000418,MSFT,MICROSOFT CORP,80.5625,2
10107,20000419,MSFT,MICROSOFT CORP,78.6875,2
10107,20000420,MSFT,MICROSOFT CORP,78.9375,2
10107,20000424,MSFT,MICROSOFT CORP,66.625,2
10107,20000425,MSFT,MICROSOFT CORP,69.375,2
10107,20000426,MSFT,MICROSOFT CORP,68,2
10107,20000427,MSFT,MICROSOFT CORP,69.8125,2
10107,20000428,MSFT,MICROSOFT CORP,69.75,2
10107,20000501,MSFT,MICROSOFT CORP,73.4375,2
10107,20000502,MSFT,MICROSOFT CORP,69.875,2
10107,20000503,MSFT,MICROSOFT CORP,70.5625,2
10107,20000504,MSFT,MICROSOFT CORP,70.4375,2
10107,20000505,MSFT,MICROSOFT CORP,71.125,2
10107,20000508,MSFT,MICROSOFT CORP,69.8125,2
10107,20000509,MSFT,MICROSOFT CORP,67.8125,2
10107,20000510,MSFT,MICROSOFT CORP,66.1875,2
10107,20000511,MSFT,MICROSOFT CORP,67.875,2
10107,20000512,MSFT,MICROSOFT CORP,68.8125,2
